Name,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971
Babar Azam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,230,656,872,509,1092
Alastair Cook,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,403,219,,156,600,663,560,523,,,,,
Arone Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,514,790,561,655,405,493,1141
Goerge Bailey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,441,1098,406,291,808,,,
Joe Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,626,872,723,796,983,946,910
Sunil Gavaskar,,,,,48,113,,,4,89,44,113,194,383,150,414,805,735,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
David Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,106,,104,840,83,406,652,1388,691,73,647
Glenn Maxwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,124,387,380,644,228,272,207,635
Kane Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,196,270,356,453,770,1376,699,596,468,948
Martin Guptil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,738,363,650,400,406,396,1489,727,384,423,650
Hashim Amla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,368,480,1058,632,678,838,892,1062,511,862,315,417
Kevin Pietersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,104,784,612,889,658,132,153,571,281,256,,,,,,
Matthew Hayden,,,,,,,,,,,,,,,,,,,,,,,,102,184,,,,,,191,311,878,1037,946,482,103,1601,298,,,,,,,,,,,
Michel Clarke,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,327,615,954,729,981,471,868,777,900,656,303,181,219,,,,
Ross Taylor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,189,663,465,631,676,561,223,510,662,1046,200,968,639,943
Shakib Al HAsan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,361,607,408,671,787,564,237,53,289,421,252,430,497,746
AB de Villiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,221,466,1209,434,762,964,467,645,1163,879,1193,339,773,62,
Brendon McCullum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,103,270,244,409,194,799,618,750,324,470,416,420,183,764,119,,,
Brian Lara,,,,,,,,,,,,,,,,,,,,,11,263,794,1349,479,806,692,755,386,631,359,732,292,888,484,438,660,386,,,,,,,,,,,,
Shane Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,236,52,28,138,280,267,262,1013,771,1139,377,693,165,336,,,,
Virender Sehwag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1,19,439,1130,871,671,1017,608,475,893,810,446,645,217,31,,,,,,
Yuvraj Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,260,238,659,600,841,839,849,1287,893,783,349,453,2,276,,,,372,,
Inzamam-ul-Haq,,,,,,,,,,,,,,,,,,,,,,80,818,808,901,699,503,891,669,1106,1074,646,743,418,911,874,450,148,,,,,,,,,,,,
Jacques Kallis,,,,,,,,,,,,,,,,,,,,,,,,,,,275,519,812,944,1300,848,1204,595,770,687,373,987,557,538,593,370,126,76,5,,,,,
MS Dhoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,19,895,821,1103,1097,1198,600,764,524,753,418,640,278,788,275,600
Rohit Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,61,532,102,504,611,168,1196,578,815,564,1293,1030,1490
Younish Khan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,380,270,1173,685,400,273,615,617,865,420,215,744,225,132,163,72,,,,
Virat Kohli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,159,325,995,1381,1026,1268,1054,623,739,1460,1202,1377
Chris Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,58,273,722,1097,981,722,563,1217,611,632,553,456,202,345,311,67,411,,199,307,753
Kumar Sangakkara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,382,264,829,695,1010,746,1333,758,942,919,726,1127,1184,1201,1256,862,,,,
Mahela Jayawardene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,98,744,554,1260,791,313,676,522,1185,1089,617,669,509,1032,785,557,846,403,,,,
Sachin Tendulkar,,,,,,,,,,,,,,,,,,,,0,239,417,704,319,1089,444,1611,1011,1894,843,1328,904,741,1141,812,412,628,1425,460,972,204,513,315,,,,,,,
Sanath Jayasuriya,,,,,,,,,,,,,,,,,,,,40,59,10,143,347,562,494,955,1178,661,674,910,1202,1077,860,724,323,1153,835,578,643,,2,,,,,,,,
Shahid Afridi,,,,,,,,,,,,,,,,,,,,,,,,,,,288,867,449,465,604,455,743,16,238,640,115,359,278,313,601,462,182,441,354,194,,,,
Steven Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,139,204,29,8,541,805,1154,449,102,379
