Name,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971,1972,1973,1970,1971
Babar Azam,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116,352,563,374
Jacques Kallis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20,15,4,,249,224,,154,,,,,,,
Virender Sehwag,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,138,0,141,,,81,,,,,,,
Hashim Amla,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,52,,9,208,140,191,100,308,269,0,
Joe Root,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,91,92,120,297,143,44,106
Kevin Pietersen,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,17,224,88,195,353,153,112,-,,,,,,
Steven Smith,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96,69,,,3,90,173,,,146
Yuvraj Singh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,179,,302,74,12,224,77,100,,166,43,,
Arone Finch,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,68,36,262,390,,218,158,531,215
Chris Gayle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10,183,68,193,163,,368,14,240,167,113,70,18,20
Glenn Maxwell,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,39,63,241,44,435,17,506,231
Kumar Sangakkara,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,34,104,,434,205,106,197,183,119,,,,,
Mahela Jayawardene,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,11,159,40,231,343,169,271,111,158,,,,,
AB de Villiers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,102,61,227,194,14,178,85,140,160,201,304,,
Brendon McCullum,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53,71,161,111,417,287,145,459,178,223,35,,,,
David Warner,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,273,373,129,334,151,184,4,238,10,96,287
Kane Williams,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-,206,,234,144,383,206,251,81
MS Dhoni,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,163,9,184,85,39,268,24,77,25,238,252,123,130
Rohit Sharma,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,88,8,145,94,80,116,8,200,128,497,283,590,396
Shahid Afridi,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,28,130,37,272,204,42,132,199,98,133,130,,11,
Shakib Al Hasan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,67,4,32,78,7,209,105,224,91,260,120,248,96
Shane Watson,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,-,17,65,293,195,406,50,126,8,298,,,
Virat Kohli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,26,61,471,29,385,44,641,299,211,466
